01-CG-000034,DOMINICAN KIDDIE SCHOOL-MEXICO,,CRU,Sto. Domingo,"Mexico, Pampanga", , ,
01-CG-000033,DIVINE WISDOM SCHOOL,,CRU,"Resettlement Area,","Floridablanca, Pampanga", , ,
01-CB-000067,ST. CATHERINE OF SIENA ACADEMY,,CRU,"Brgy San Roque,","Samal, Bataan", ,BATAAN,
01-CF-000025,SBMA SPED EDUCATION CENTER,,CRU,"Kalayaan Ave., SBMA,","Subic Bay Freeport,Olongapo City", , ,
01-CB-000080,ST. PETER OF VERONA SCHOOL,,CRU,Poblasyon,"Hermosa, Bataan",SFIC,BATAAN,
01-CG-000007,ARAYAT INSTITUTE (HS),,CRU,poblacion,"Arayat, Pampanga", , ,
01-CB-000076,ST. MICHAEL THE ARCHANGEL ACADEMY,,CRU,(Formerly Holy Child Cath. Sch.),"Orion, Bataan", ,BATAAN,
01-CB-000002,ASIA PACIFIC COLLEGE OF ADVANCE STUDIES,,CRU,"A.H. Banzon St.,","Ibayo, Balanga City, Bataan", , ,
01-CB-000026,ECUMENICAL LEARNING CTR.-BALANGA,,CRU,"Capitol Drive,","Balanga, Bataan", , ,
01-NA-000050,DIVINE MERCY COLLEGE FDT.(E/H),,CRU,"#129 University Ave.,",Kalookan City, ,,
01-CI-000056,T.R. YANGCO EDUC'L INST.(E/HS),,CRU,t.r yangco st. brgy rizal,"San Antonio, Zambales",OP - St. Joseph the Worker,IBA,
01-CG-000103,MEXICO ECUMENICAL KIDDIE SCHOOL,,CRU,(United Methodist Church)Poblacion,"Parian, Mexico, Pampanga", , ,
01-CA-000005,ANGELES CITY SCIENCE HIGH SCHOOL,,CRU,(back of Angeles Univ. Foundation),Angeles City, , ,
01-NA-000222,RIDGEWOOD SCHOOL OF KALOOKAN,,CRU,"(Tiny Rolls Mont.)B-31 L-27, Acacia St.","Rainbow V,Bagumbong, Nova., Kal. City", , ,
01-CG-000084,LA VERDAD CHRISTIAN SCHOOL,,CRU,,"Sampaloc St., Apalit, Pampanga", , ,
01-CB-000108,LETRAN SCIENCE HIGH SCHOOL,,CRU,"Dominican, Avenue","Abucay, Bataan", , ,
01-CG-000016,BLUERIDGE SCHOOL,,CRU,"Sulipan, San Isidro,","Apalit, Pampanga", , ,
